;Table name: Filters_Identity
;MariaDB types
;INT NOT NULL : ID, ID_F
;VARCHAR(30) NOT NULL DEFAULT 'N.A.' : Description
;CONSTRAINT PRIMARY KEY (ID, ID_F)
;CONSTRAINT FOREIGN KEY (ID) REFERENCES Identity(ID)
;CONSTRAINT FOREIGN KEY (ID_F) REFERENCES Filters(ID_F)
;ID,ID_F,Description
30,17,Herschel
30,18,Herschel
30,19,Herschel
30,20,Herschel
30,21,Herschel
30,22,Herschel
31,17,Herschel
31,18,Herschel
31,19,Herschel
31,20,Herschel
32,17,Herschel
32,18,Herschel
32,19,Herschel
32,20,Herschel
32,21,Herschel
32,22,Herschel
33,17,Herschel
33,19,Herschel
33,20,Herschel
33,21,Herschel
33,22,Herschel
34,18,Herschel
34,19,Herschel
34,20,Herschel
34,21,Herschel
34,22,Herschel
37,17,Herschel
37,18,Herschel
37,19,Herschel
37,20,Herschel
37,21,Herschel
37,22,Herschel
38,18,Herschel
38,19,Herschel
38,20,Herschel
38,21,Herschel
38,22,Herschel
39,18,Herschel
39,20,Herschel
39,21,Herschel
39,22,Herschel
40,17,Herschel
40,18,Herschel
40,19,Herschel
40,20,Herschel
40,22,Herschel
41,17,Herschel
41,18,Herschel
41,19,Herschel
41,20,Herschel
41,21,Herschel
41,22,Herschel
42,17,Herschel
42,18,Herschel
42,19,Herschel
42,20,Herschel
42,21,Herschel
42,22,Herschel
43,17,Herschel
43,18,Herschel
43,19,Herschel
43,20,Herschel
43,21,Herschel
43,22,Herschel
45,20,Herschel
46,20,Herschel
46,21,Herschel
46,22,Herschel
47,17,Herschel
47,18,Herschel
47,20,Herschel
48,17,Herschel
48,18,Herschel
48,19,Herschel
48,20,Herschel
48,21,Herschel
49,18,Herschel
49,19,Herschel
49,20,Herschel
50,17,Herschel
50,18,Herschel
50,20,Herschel
50,21,Herschel
50,22,Herschel
64,20,Herschel
67,17,Herschel
67,18,Herschel
68,17,Herschel
68,18,Herschel
68,19,Herschel
68,20,Herschel
69,17,Herschel
69,18,Herschel
71,17,Herschel
71,18,Herschel
71,19,Herschel
71,20,Herschel
71,21,Herschel
71,22,Herschel
72,17,Herschel
72,18,Herschel
72,20,Herschel
73,17,Herschel
73,18,Herschel
74,17,Herschel
74,18,Herschel
74,19,Herschel
74,20,Herschel
74,22,Herschel
75,17,Herschel
75,18,Herschel
75,19,Herschel
75,20,Herschel
76,17,Herschel
76,18,Herschel
